Network,Sublayer,Node,Metric,Mean_Control,Mean_MS,Delta_Control_minus_MS
MULTILAYER,rsfMRI,62,Strength,80.07396,72.907135,7.1668243
MULTILAYER,rsfMRI,63,Strength,74.83686,67.2696,7.5672607
MULTILAYER,rsfMRI,64,Strength,81.64998,74.41118,7.2388
MULTILAYER,rsfMRI,65,Strength,75.27333,70.12182,5.151512
MULTILAYER,rsfMRI,66,Strength,82.34505,75.57643,6.7686157
MULTILAYER,rsfMRI,67,Strength,91.466934,82.044624,9.42231
MULTILAYER,rsfMRI,68,Strength,68.81731,66.45362,2.3636856
MULTILAYER,rsfMRI,69,Strength,82.42313,76.379166,6.0439606
MULTILAYER,rsfMRI,70,Strength,87.46061,80.97965,6.480957
MULTILAYER,rsfMRI,71,Strength,91.5171,83.72095,7.79615
MULTILAYER,rsfMRI,72,Strength,90.35222,81.89861,8.453606
MULTILAYER,rsfMRI,73,Strength,86.92623,78.92902,7.9972076
MULTILAYER,rsfMRI,74,Strength,67.20682,62.953514,4.2533035
MULTILAYER,rsfMRI,75,Strength,91.89931,82.79487,9.104439
MULTILAYER,GM,0,Betweenness,0.03327877,0.03130243,0.001976341
MULTILAYER,GM,1,Betweenness,0.050542716,0.015308627,0.03523409
MULTILAYER,GM,2,Betweenness,0.042084634,0.012515708,0.029568925
MULTILAYER,GM,3,Betweenness,0.034315463,0.0132526755,0.021062788
MULTILAYER,GM,4,Betweenness,0.025947353,0.011186958,0.014760395
MULTILAYER,GM,5,Betweenness,0.020651424,0.010738665,0.009912759
MULTILAYER,GM,6,Betweenness,0.01565413,0.018746391,-0.003092261
MULTILAYER,GM,7,Betweenness,0.03849723,0.013163526,0.025333703
MULTILAYER,GM,8,Betweenness,0.022449084,0.009907454,0.012541629
MULTILAYER,GM,9,Betweenness,0.025431713,0.0188487,0.0065830126
MULTILAYER,GM,10,Betweenness,0.025831979,0.016138138,0.0096938405
MULTILAYER,GM,11,Betweenness,0.038551375,0.019490574,0.019060802
MULTILAYER,GM,12,Betweenness,0.01015994,0.0063278996,0.0038320408
MULTILAYER,GM,13,Betweenness,0.054145113,0.017109867,0.037035245
MULTILAYER,GM,14,Betweenness,0.031654377,0.025377821,0.0062765554
