Node,Group,Layer,Metric,Value
83,EM,MULTINEXT,Degree_mean,145.04137931034484
84,Control,MULTILAYER,Degree_mean,146.8
84,Control,MULTINEXT,Degree_mean,146.8
84,EM,MULTILAYER,Degree_mean,146.02758620689656
84,EM,MULTINEXT,Degree_mean,146.02758620689656
85,Control,MULTILAYER,Degree_mean,147.8
85,Control,MULTINEXT,Degree_mean,147.8
85,EM,MULTILAYER,Degree_mean,147.04827586206898
85,EM,MULTINEXT,Degree_mean,147.04827586206898
86,Control,MULTILAYER,Degree_mean,138.8
86,Control,MULTINEXT,Degree_mean,138.8
86,EM,MULTILAYER,Degree_mean,138.08275862068965
86,EM,MULTINEXT,Degree_mean,138.08275862068965
87,Control,MULTILAYER,Degree_mean,148.8
87,Control,MULTINEXT,Degree_mean,148.8
87,EM,MULTILAYER,Degree_mean,148.0
87,EM,MULTINEXT,Degree_mean,148.0
88,Control,MULTILAYER,Degree_mean,148.8
88,Control,MULTINEXT,Degree_mean,148.8
88,EM,MULTILAYER,Degree_mean,148.02068965517242
88,EM,MULTINEXT,Degree_mean,148.02068965517242
89,Control,MULTILAYER,Degree_mean,130.4
89,Control,MULTINEXT,Degree_mean,130.4
89,EM,MULTILAYER,Degree_mean,130.13793103448276
89,EM,MULTINEXT,Degree_mean,130.13793103448276
90,Control,MULTILAYER,Degree_mean,141.8
90,Control,MULTINEXT,Degree_mean,141.8
90,EM,MULTILAYER,Degree_mean,141.04137931034484
90,EM,MULTINEXT,Degree_mean,141.04137931034484
91,Control,MULTILAYER,Degree_mean,139.6
91,Control,MULTINEXT,Degree_mean,139.6
91,EM,MULTILAYER,Degree_mean,139.08965517241379
91,EM,MULTINEXT,Degree_mean,139.08965517241379
92,Control,MULTILAYER,Degree_mean,132.9
92,Control,MULTINEXT,Degree_mean,132.9
92,EM,MULTILAYER,Degree_mean,132.13793103448276
92,EM,MULTINEXT,Degree_mean,132.13793103448276
93,Control,MULTILAYER,Degree_mean,140.0
93,Control,MULTINEXT,Degree_mean,140.0
93,EM,MULTILAYER,Degree_mean,139.09655172413792
93,EM,MULTINEXT,Degree_mean,139.09655172413792
94,Control,MULTILAYER,Degree_mean,136.5
94,Control,MULTINEXT,Degree_mean,136.5
94,EM,MULTILAYER,Degree_mean,136.13103448275862
94,EM,MULTINEXT,Degree_mean,136.13103448275862
95,Control,MULTILAYER,Degree_mean,143.8
95,Control,MULTINEXT,Degree_mean,143.8
95,EM,MULTILAYER,Degree_mean,143.0344827586207
95,EM,MULTINEXT,Degree_mean,143.0344827586207
96,Control,MULTILAYER,Degree_mean,142.0
96,Control,MULTINEXT,Degree_mean,142.0
96,EM,MULTILAYER,Degree_mean,141.08275862068965
96,EM,MULTINEXT,Degree_mean,141.08275862068965
97,Control,MULTILAYER,Degree_mean,146.6
97,Control,MULTINEXT,Degree_mean,146.6
97,EM,MULTILAYER,Degree_mean,146.02068965517242
97,EM,MULTINEXT,Degree_mean,146.02068965517242
98,Control,MULTILAYER,Degree_mean,149.8
98,Control,MULTINEXT,Degree_mean,149.8
98,EM,MULTILAYER,Degree_mean,149.02068965517242
98,EM,MULTINEXT,Degree_mean,149.02068965517242
99,Control,MULTILAYER,Degree_mean,144.7
99,Control,MULTINEXT,Degree_mean,144.7
99,EM,MULTILAYER,Degree_mean,144.02758620689656
99,EM,MULTINEXT,Degree_mean,144.02758620689656
100,Control,MULTILAYER,Degree_mean,143.0
100,Control,MULTINEXT,Degree_mean,143.0
100,EM,MULTILAYER,Degree_mean,142.04137931034484
100,EM,MULTINEXT,Degree_mean,142.04137931034484
101,Control,MULTILAYER,Degree_mean,145.9
101,Control,MULTINEXT,Degree_mean,145.9
101,EM,MULTILAYER,Degree_mean,145.02068965517242
101,EM,MULTINEXT,Degree_mean,145.02068965517242
102,Control,MULTILAYER,Degree_mean,148.0
102,Control,MULTINEXT,Degree_mean,148.0
102,EM,MULTILAYER,Degree_mean,147.02758620689656
102,EM,MULTINEXT,Degree_mean,147.02758620689656
103,Control,MULTILAYER,Degree_mean,148.6
103,Control,MULTINEXT,Degree_mean,148.6
