Node,Group,Layer,Metric,Value
65,EM,rsfMRI,Degree_mean,74.51724137931035
66,Control,FA,Degree_mean,73.83333333333333
66,Control,GM,Degree_mean,74.5
66,Control,rsfMRI,Degree_mean,74.94444444444444
66,EM,FA,Degree_mean,73.51034482758621
66,EM,GM,Degree_mean,74.51724137931035
66,EM,rsfMRI,Degree_mean,74.48965517241379
67,Control,FA,Degree_mean,74.0
67,Control,GM,Degree_mean,74.4
67,Control,rsfMRI,Degree_mean,74.83333333333333
67,EM,FA,Degree_mean,73.48965517241379
67,EM,GM,Degree_mean,74.52413793103449
67,EM,rsfMRI,Degree_mean,74.50344827586207
68,Control,FA,Degree_mean,64.83333333333333
68,Control,GM,Degree_mean,73.8
68,Control,rsfMRI,Degree_mean,74.88888888888889
68,EM,FA,Degree_mean,64.57241379310345
68,EM,GM,Degree_mean,74.56551724137931
68,EM,rsfMRI,Degree_mean,74.49655172413793
69,Control,FA,Degree_mean,69.0
69,Control,GM,Degree_mean,74.5
69,Control,rsfMRI,Degree_mean,74.83333333333333
69,EM,FA,Degree_mean,68.52413793103449
69,EM,GM,Degree_mean,74.51724137931035
69,EM,rsfMRI,Degree_mean,74.50344827586207
70,Control,FA,Degree_mean,72.0
70,Control,GM,Degree_mean,74.6
70,Control,rsfMRI,Degree_mean,74.94444444444444
70,EM,FA,Degree_mean,71.50344827586207
70,EM,GM,Degree_mean,74.51034482758621
70,EM,rsfMRI,Degree_mean,74.48965517241379
71,Control,FA,Degree_mean,74.0
71,Control,GM,Degree_mean,73.9
71,Control,rsfMRI,Degree_mean,74.88888888888889
71,EM,FA,Degree_mean,73.48965517241379
71,EM,GM,Degree_mean,74.55862068965517
71,EM,rsfMRI,Degree_mean,74.49655172413793
72,Control,FA,Degree_mean,74.88888888888889
72,Control,GM,Degree_mean,74.7
72,Control,rsfMRI,Degree_mean,74.77777777777777
72,EM,FA,Degree_mean,74.49655172413793
72,EM,GM,Degree_mean,74.50344827586207
72,EM,rsfMRI,Degree_mean,74.51034482758621
73,Control,FA,Degree_mean,74.0
73,Control,GM,Degree_mean,74.9
73,Control,rsfMRI,Degree_mean,75.0
73,EM,FA,Degree_mean,73.48965517241379
73,EM,GM,Degree_mean,74.48965517241379
73,EM,rsfMRI,Degree_mean,74.48275862068965
74,Control,FA,Degree_mean,58.888888888888886
74,Control,GM,Degree_mean,74.7
74,Control,rsfMRI,Degree_mean,74.88888888888889
74,EM,FA,Degree_mean,58.60689655172414
74,EM,GM,Degree_mean,74.50344827586207
74,EM,rsfMRI,Degree_mean,74.49655172413793
75,Control,FA,Degree_mean,72.94444444444444
75,Control,GM,Degree_mean,74.7
75,Control,rsfMRI,Degree_mean,74.83333333333333
75,EM,FA,Degree_mean,72.50344827586207
75,EM,GM,Degree_mean,74.50344827586207
75,EM,rsfMRI,Degree_mean,74.50344827586207
0,Control,FA,Degree_std,0.0
0,Control,GM,Degree_std,1.0593499054713797
0,Control,rsfMRI,Degree_std,1.144752163719235
0,EM,FA,Degree_std,1.5266784620334373
0,EM,GM,Degree_std,0.8901870310173976
0,EM,rsfMRI,Degree_std,1.3336206586967243
1,Control,FA,Degree_std,0.23570226039551823
1,Control,GM,Degree_std,0.4830458915396468
1,Control,rsfMRI,Degree_std,0.8401680504168056
1,EM,FA,Degree_std,2.143890008329741
1,EM,GM,Degree_std,0.9363354836441039
1,EM,rsfMRI,Degree_std,1.7363865681858548
2,Control,FA,Degree_std,0.0
2,Control,GM,Degree_std,1.2866839377079218
2,Control,rsfMRI,Degree_std,0.8401680504168053
2,EM,FA,Degree_std,1.6502641144706431
2,EM,GM,Degree_std,1.117905471709552
2,EM,rsfMRI,Degree_std,1.6290878438761789
3,Control,FA,Degree_std,0.5483188805533165
3,Control,GM,Degree_std,0.3162277660168376
3,Control,rsfMRI,Degree_std,0.23570226039551564
3,EM,FA,Degree_std,0.7395504485161127
3,EM,GM,Degree_std,1.6713153559867415
3,EM,rsfMRI,Degree_std,1.6461961261720186
4,Control,FA,Degree_std,0.23570226039551823
4,Control,GM,Degree_std,1.3165611772087678
4,Control,rsfMRI,Degree_std,0.47140452079103096
4,EM,FA,Degree_std,1.1243559246122765
4,EM,GM,Degree_std,1.0673219969675156
4,EM,rsfMRI,Degree_std,1.8032537641527375
5,Control,FA,Degree_std,0.0
5,Control,GM,Degree_std,0.4216370213557811
5,Control,rsfMRI,Degree_std,1.8830166313622734
5,EM,FA,Degree_std,2.306745065440667
5,EM,GM,Degree_std,1.080921275855788
5,EM,rsfMRI,Degree_std,1.4854659859459252
6,Control,FA,Degree_std,0.23570226039551823
6,Control,GM,Degree_std,0.8432740427115681
6,Control,rsfMRI,Degree_std,0.3233808333817787
6,EM,FA,Degree_std,1.6120950886075722
6,EM,GM,Degree_std,1.5991197291153592
6,EM,rsfMRI,Degree_std,1.6462252188763133
7,Control,FA,Degree_std,0.32338083338177853
7,Control,GM,Degree_std,0.8232726023485648
7,Control,rsfMRI,Degree_std,0.6691131580686895
7,EM,FA,Degree_std,1.7562695575055365
7,EM,GM,Degree_std,1.2250576653875958
7,EM,rsfMRI,Degree_std,1.3234185965178185
8,Control,FA,Degree_std,0.3233808333817786
8,Control,GM,Degree_std,0.4830458915396486
8,Control,rsfMRI,Degree_std,0.73208449814096
8,EM,FA,Degree_std,2.0107469876331687
8,EM,GM,Degree_std,0.8984874475954521
8,EM,rsfMRI,Degree_std,1.5280581421607449
9,Control,FA,Degree_std,0.32338083338178075
9,Control,GM,Degree_std,0.4216370213557825
9,Control,rsfMRI,Degree_std,1.6528841894672632
9,EM,FA,Degree_std,1.3494713027459537
9,EM,GM,Degree_std,1.4148230058671758
9,EM,rsfMRI,Degree_std,1.4954592831076838
10,Control,FA,Degree_std,0.23570226039551634
10,Control,GM,Degree_std,0.9660917830792959
10,Control,rsfMRI,Degree_std,0.4608885989624745
10,EM,FA,Degree_std,1.218000371188186
10,EM,GM,Degree_std,0.9795319079135162
10,EM,rsfMRI,Degree_std,1.5142996560376867
11,Control,FA,Degree_std,0.5144957554275278
11,Control,GM,Degree_std,0.6992058987801023
11,Control,rsfMRI,Degree_std,0.23570226039551484
11,EM,FA,Degree_std,1.1249521062602232
11,EM,GM,Degree_std,1.258952614606187
11,EM,rsfMRI,Degree_std,2.4441461852173734
12,Control,FA,Degree_std,0.32338083338177886
12,Control,GM,Degree_std,0.0
12,Control,rsfMRI,Degree_std,0.7519039015221206
12,EM,FA,Degree_std,1.8526412749063401
12,EM,GM,Degree_std,1.028101326312128
12,EM,rsfMRI,Degree_std,1.3181607992655162
13,Control,FA,Degree_std,0.32338083338177753
13,Control,GM,Degree_std,0.8432740427115681
13,Control,rsfMRI,Degree_std,0.7320844981409598
13,EM,FA,Degree_std,0.873568889878746
13,EM,GM,Degree_std,0.9360285387141533
13,EM,rsfMRI,Degree_std,1.810913065353553
14,Control,FA,Degree_std,0.32338083338177825
14,Control,GM,Degree_std,0.9189365834726809
14,Control,rsfMRI,Degree_std,0.23570226039551592
14,EM,FA,Degree_std,1.877982940117307
14,EM,GM,Degree_std,0.7907511342526382
14,EM,rsfMRI,Degree_std,1.8749712641476162
15,Control,FA,Degree_std,0.548318880553314
15,Control,GM,Degree_std,1.0540925533894594
15,Control,rsfMRI,Degree_std,0.4277926319464981
15,EM,FA,Degree_std,2.1688097270585787
15,EM,GM,Degree_std,0.9123461398653466
15,EM,rsfMRI,Degree_std,1.6206876171830338
16,Control,FA,Degree_std,0.23570226039551648
16,Control,GM,Degree_std,0.849836585598797
16,Control,rsfMRI,Degree_std,1.6499158227686113
16,EM,FA,Degree_std,1.2035627189269398
16,EM,GM,Degree_std,0.9725642529178419
16,EM,rsfMRI,Degree_std,1.6247015641076339
17,Control,FA,Degree_std,0.0
17,Control,GM,Degree_std,0.8432740427115671
17,Control,rsfMRI,Degree_std,1.5434872662825816
17,EM,FA,Degree_std,2.0032301501531857
17,EM,GM,Degree_std,1.0074910988074501
17,EM,rsfMRI,Degree_std,1.3332255703578235
18,Control,FA,Degree_std,0.5745131499601402
18,Control,GM,Degree_std,0.6666666666666666
