Cohort,Layer,Metric,Node,Control,EM,Delta,Interpretation
HCB,rsfMRI,Degree_mean,3,74.94444444444444,74.48965517241379,0.4547892720306521,↑ in controls
HCB,rsfMRI,Degree_mean,11,74.94444444444444,74.48965517241379,0.4547892720306521,↑ in controls
HCB,rsfMRI,Degree_mean,14,74.94444444444444,74.48965517241379,0.4547892720306521,↑ in controls
HCB,rsfMRI,Eigenvector_mean,41,0.10409961841066818,0.09664406703025387,0.007455551380414316,↑ in controls
HCB,rsfMRI,Eigenvector_mean,40,0.10989551181681059,0.10300976488753098,0.00688574692927961,↑ in controls
HCB,rsfMRI,Eigenvector_mean,37,0.10985763782349157,0.10305169367129946,0.006805944152192114,↑ in controls
HCB,rsfMRI,Eigenvector_mean,34,0.10305009147725569,0.09651234295991336,0.006537748517342332,↑ in controls
HCB,rsfMRI,Eigenvector_mean,44,0.10961568537920069,0.10356423645203476,0.006051448927165928,↑ in controls
HCB,rsfMRI,Eigenvector_mean,12,0.1111805598172294,0.1168566914047968,-0.005676131587567412,↓ in MS
HCB,rsfMRI,Eigenvector_mean,43,0.10777590110001488,0.10290750206123488,0.0048683990387800025,↑ in controls
HCB,rsfMRI,Eigenvector_mean,5,0.11489109019693676,0.11964673539482154,-0.004755645197884781,↓ in MS
HCB,rsfMRI,Eigenvector_mean,58,0.10445010021154875,0.09996501540570148,0.004485084805847278,↑ in controls
HCB,rsfMRI,Eigenvector_mean,13,0.10619629880505253,0.10183751928076325,0.004358779524289286,↑ in controls
HCB,rsfMRI,Strength_mean,37,41.31935738756047,38.89668727830295,2.422670109257524,↑ in controls
HCB,rsfMRI,Strength_mean,41,38.868377289104835,36.68312949317235,2.185247795932483,↑ in controls
HCB,rsfMRI,Strength_mean,34,38.77670433575246,36.667234089362005,2.109470246390458,↑ in controls
HCB,rsfMRI,Strength_mean,44,41.16411302543955,39.16765378107944,1.9964592443601106,↑ in controls
HCB,rsfMRI,Strength_mean,35,38.08641474810953,39.93176807488733,-1.845353326777797,↓ in MS
HCB,rsfMRI,Strength_mean,40,40.93890997326086,39.13616548702505,1.8027444862358095,↑ in controls
HCB,rsfMRI,Strength_mean,61,42.297969791695664,43.85045819430442,-1.552488402608759,↓ in MS
HCB,rsfMRI,Strength_mean,12,42.18992111642061,43.68350597048678,-1.493584854066171,↓ in MS
HCB,rsfMRI,Strength_mean,5,43.25750852788073,44.69873095333999,-1.4412224254592587,↓ in MS
HCB,rsfMRI,Strength_mean,58,39.32722310611317,37.9089883643853,1.418234741727872,↑ in controls
