Node,Layer,Metric,Control,EM,Diff_EM_minus_Control
8,GM,Strength_mean,30.012369667599938,29.21486458016268,-0.7975050874372585
8,GM,Strength_std,9.575889537822484,8.945149292872271,-0.6307402449502124
8,rsfMRI,Betweenness_mean,0.0104704704704704,0.01240385212799,0.001933381657519601
8,rsfMRI,Betweenness_std,0.0331387430313405,0.0278883658229292,-0.005250377208411299
8,rsfMRI,Closeness_mean,0.9971322537112012,0.9938836193258624,-0.0032486343853387334
8,rsfMRI,Closeness_std,0.0094070958722647,0.0184228469061914,0.009015751033926699
8,rsfMRI,Degree_mean,74.77777777777777,74.51034482758621,-0.2674329501915622
8,rsfMRI,Degree_std,0.73208449814096,1.5280581421607449,0.7959736440197849
8,rsfMRI,Eigenvector_mean,0.1184970571028455,0.1197444021729221,0.0012473450700765942
8,rsfMRI,Eigenvector_std,0.0131742609781618,0.0114570285942292,-0.0017172323839326
8,rsfMRI,Strength_mean,44.62190496466115,44.53411549872955,-0.08778946593159986
8,rsfMRI,Strength_std,9.577500374607574,6.875981344022346,-2.701519030585228
