Cohort,Layer,Metric,Node,Control,EM,Delta,Interpretation
Naples,MULTINEXT,Eigenvector_mean,44,0.08158258542396857,0.08227110165539887,-0.0006885162314303056,↓ in MS
Naples,MULTINEXT,Eigenvector_mean,119,0.07561813647391097,0.07629388640912285,-0.0006757499352118834,↓ in MS
Naples,MULTINEXT,Eigenvector_mean,58,0.07266561163607542,0.0733175434304361,-0.0006519317943606828,↓ in MS
Naples,MULTINEXT,Eigenvector_mean,56,0.082593286245358,0.08323617543462605,-0.0006428891892680533,↓ in MS
Naples,MULTINEXT,Eigenvector_mean,41,0.08320678517978419,0.08384642300117472,-0.0006396378213905235,↓ in MS
Naples,MULTINEXT,Eigenvector_mean,48,0.06154325097189202,0.062177578904078316,-0.0006343279321862974,↓ in MS
Naples,MULTINEXT,Eigenvector_mean,15,0.0790728541997721,0.07845138087500388,0.0006214733247682236,↑ in controls
Naples,MULTINEXT,Eigenvector_mean,106,0.08380981330300352,0.08321967611406432,0.0005901371889392021,↑ in controls
Naples,MULTINEXT,Eigenvector_mean,62,0.0784484337936178,0.07786304364613916,0.0005853901474786316,↑ in controls
Naples,MULTINEXT,Eigenvector_mean,120,0.08163105948716629,0.082208622464154,-0.0005775629769877166,↓ in MS
Naples,MULTINEXT,Strength_mean,15,138.71698113207546,136.6153846153846,2.1015965166908472,↑ in controls
Naples,MULTINEXT,Strength_mean,106,147.60377358490567,145.55769230769232,2.0460812772133465,↑ in controls
Naples,MULTINEXT,Strength_mean,62,137.69811320754718,135.65384615384616,2.04426705370102,↑ in controls
Naples,MULTINEXT,Strength_mean,104,148.58490566037736,146.55769230769232,2.027213352685038,↑ in controls
Naples,MULTINEXT,Strength_mean,60,140.64150943396226,138.65384615384616,1.9876632801160952,↑ in controls
Naples,MULTINEXT,Strength_mean,83,146.56603773584905,144.6153846153846,1.9506531204644375,↑ in controls
Naples,MULTINEXT,Strength_mean,66,147.50943396226415,145.65384615384616,1.8555878084179938,↑ in controls
Naples,MULTINEXT,Strength_mean,71,148.49056603773585,146.65384615384616,1.8367198838896854,↑ in controls
Naples,MULTINEXT,Strength_mean,88,148.47169811320754,146.67307692307693,1.7986211901306035,↑ in controls
Naples,MULTINEXT,Strength_mean,126,149.45283018867926,147.67307692307693,1.7797532656023236,↑ in controls
